"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","silver-0",1,1,31000,31079,31079,31079,0,0.03
"GET","silver-1",1,1,30000,30271,30271,30271,0,0.03
"GET","silver-2",1,1,31000,30511,30511,30511,0,0.03
"GET","silver-3",1,1,30000,30437,30437,30437,0,0.03
"GET","silver-4",1,1,31000,30783,30783,30783,0,0.03
"GET","silver-5",1,1,31000,30845,30845,30845,0,0.03
"None","Total",6,6,31000,30654,30271,31079,0,0.19
