




REPORT optimizer 0 :
config #	worker1CPU	worker1Replicas	worker2CPU	worker2Replicas	worker3CPU	worker3Replicas	demoCPU	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	Tenant-3 Throughtput	Tenant-3 avg Latency	Tenant-3 #Failures	Tenant-4 Throughtput	Tenant-4 avg Latency	Tenant-4 #Failures	
0	2200	0	750	1	250	0	800	0.921875	0.52	1881	0	0.53	1846	0	0.53	1851	0	0.53	1830	0	0.53	1867	0	
1	2200	0	750	1	250	2	800	0.8697916666666666	0.75	1340	0	0.73	1369	0	0.73	1383	0	0.66	1517	0	0.76	1297	0	
2	2200	0	750	1	250	1	800	0.8958333333333334	0.69	1409	0	0.69	1411	0	0.65	1528	0	0.69	1424	0	0.67	1488	0	
 


