"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","gold-0",33,0,1800,1793,983,2964,19,0.55
"GET","gold-1",33,0,1800,1775,895,2794,19,0.55
"GET","gold-2",34,0,1800,1721,698,3076,19,0.57
"GET","gold-3",32,0,1900,1857,1016,2669,19,0.54
"GET","gold-4",33,0,1700,1756,1011,2535,19,0.55
"GET","gold-5",32,0,1800,1832,1100,3083,19,0.54
"GET","gold-6",35,0,1700,1711,922,2696,19,0.59
"GET","gold-7",37,0,1500,1598,556,2628,19,0.62
"GET","gold-8",32,0,1800,1801,1099,2707,19,0.54
"None","Total",301,0,1800,1757,556,3083,19,5.05
