"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","gold-0",32,0,1800,1821,835,2592,19,0.54
"GET","gold-1",31,0,1900,1872,980,2997,19,0.53
"GET","gold-10",33,0,1800,1762,873,2675,19,0.56
"GET","gold-2",30,0,1900,1925,856,2968,19,0.51
"GET","gold-3",33,0,1800,1773,723,2877,19,0.56
"GET","gold-4",34,0,1600,1719,868,2901,19,0.58
"GET","gold-5",32,0,1800,1835,832,2833,19,0.54
"GET","gold-6",33,0,1800,1792,1012,2572,19,0.56
"GET","gold-7",33,0,1800,1790,820,3094,19,0.56
"GET","gold-8",34,0,1700,1729,1035,2939,19,0.58
"GET","gold-9",35,0,1600,1675,974,2485,19,0.60
"None","Total",360,0,1800,1788,723,3094,19,6.12
