




REPORT optimizer 0 :
config #	worker1CPU	worker1Replicas	worker2CPU	worker2Replicas	worker3CPU	worker3Replicas	demoCPU	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	Tenant-3 Throughtput	Tenant-3 avg Latency	Tenant-3 #Failures	Tenant-4 Throughtput	Tenant-4 avg Latency	Tenant-4 #Failures	Tenant-5 Throughtput	Tenant-5 avg Latency	Tenant-5 #Failures	Tenant-6 Throughtput	Tenant-6 avg Latency	Tenant-6 #Failures	Tenant-7 Throughtput	Tenant-7 avg Latency	Tenant-7 #Failures	Tenant-8 Throughtput	Tenant-8 avg Latency	Tenant-8 #Failures	
0	2200	1	750	0	250	0	800	0.7708333333333334	0.64	1541	0	0.64	1533	0	0.66	1526	0	0.66	1532	0	0.64	1548	0	0.64	1530	0	0.64	1530	0	0.66	1514	0	0.64	1539	0	
1	2200	1	750	0	250	2	800	0	0.31	3268	0	0.36	2833	0	0.32	3111	0	0.31	3164	0	0.37	2660	0	0.31	3209	0	0.34	2991	0	0.27	3638	0	0.31	3182	0	
2	2200	1	750	0	250	1	800	0	0.45	2091	0	0.44	2161	0	0.42	2314	0	0.49	1967	0	0.49	2024	0	0.57	1651	0	0.5	1975	0	0.54	1849	0	0.42	2277	0	
 


