




REPORT optimizer 0 :
config #	worker1CPU	worker1Replicas	worker2CPU	worker2Replicas	worker3CPU	worker3Replicas	demoCPU	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	Tenant-3 Throughtput	Tenant-3 avg Latency	Tenant-3 #Failures	Tenant-4 Throughtput	Tenant-4 avg Latency	Tenant-4 #Failures	Tenant-5 Throughtput	Tenant-5 avg Latency	Tenant-5 #Failures	
0	2200	0	750	1	250	0	800	0	0.45	2214	0	0.45	2192	0	0.44	2236	0	0.44	2224	0	0.44	2219	0	0.45	2192	0	
1	2200	0	750	1	250	2	800	0	0.37	2719	0	0.3	3286	0	0.28	3487	0	0.37	2672	0	0.32	3073	0	0.34	2953	0	
2	2200	0	750	1	250	1	800	0	0.52	1932	0	0.47	2128	0	0.41	2442	0	0.47	2087	0	0.42	2329	0	0.44	2283	0	
 


