"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",716,64,80,89,95,110,160,200,560,1800
"GET silver-1",709,67,82,92,96,110,170,200,530,1800
"Total",1425,65,81,90,96,110,170,200,550,1800
