"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",44,800,1700,2100,2200,3100,3100,3300,3300,3300
"Total",44,800,1700,2100,2200,3100,3100,3300,3300,3300
