"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",8,3800,4500,7100,7100,30000,30000,30000,30000,30000
"Total",8,3800,4500,7100,7100,30000,30000,30000,30000,30000
