"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","gold-0",3,0,15000,15910,13210,19528,19,0.05
"GET","gold-1",3,0,15000,16543,13594,20731,19,0.05
"GET","gold-2",3,0,15000,18712,14306,26529,19,0.05
"GET","gold-3",4,0,15000,14765,13001,15807,19,0.07
"GET","gold-4",3,0,15000,14981,13604,16039,19,0.05
"GET","gold-5",3,0,14000,16577,13784,21750,19,0.05
"GET","gold-6",3,0,14000,17182,14016,23331,19,0.05
"GET","gold-7",3,0,15000,17747,14307,23923,19,0.05
"GET","gold-8",3,0,16000,18078,13509,24843,19,0.05
"GET","gold-9",3,0,14000,15451,14199,17743,19,0.05
"None","Total",31,0,15000,16535,13001,26529,19,0.53
