"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",6,8600,8600,9200,9200,31000,31000,31000,31000,31000
"GET silver-1",6,9200,9200,9500,9500,30000,30000,30000,30000,30000
"Total",12,8600,9200,9500,9500,30000,31000,31000,31000,31000
