"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","gold-0",35,0,1000,1708,252,9969,19,0.59
"GET","gold-1",33,0,1500,1790,274,6928,19,0.56
"GET","gold-2",25,0,1800,2251,445,8484,19,0.42
"GET","gold-3",35,0,1300,1604,388,6438,19,0.59
"GET","gold-4",28,0,1500,2005,693,9275,19,0.48
"GET","gold-5",41,0,1100,1377,268,5845,19,0.70
"GET","gold-6",28,0,1400,2039,281,7157,19,0.48
"GET","gold-7",39,0,990,1519,275,8381,19,0.66
"GET","gold-8",32,0,1700,1830,233,10052,19,0.54
"GET","gold-9",32,0,1300,1783,427,7700,19,0.54
"None","Total",328,0,1400,1755,233,10052,19,5.56
