"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET gold-0",22,2200,2900,4800,4900,5400,7000,7100,7100,7100
"GET gold-1",36,950,1400,2000,2200,3800,5000,7300,7300,7300
"GET gold-2",25,1400,1700,4200,4700,5300,7100,7300,7300,7300
"GET gold-3",20,2100,2800,5000,5400,7100,7300,7300,7300,7300
"GET gold-4",25,660,1100,1400,1600,3800,5400,30000,30000,30000
"GET gold-5",21,1600,2300,4400,4800,6100,7000,7200,7200,7200
"GET gold-6",20,1900,3700,4900,5100,7100,7200,7200,7200,7200
"Total",169,1500,2000,2900,4200,5400,7100,7300,7300,30000
