"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","gold-0",30,0,1800,1915,979,3704,19,0.51
"GET","gold-1",30,0,1900,1907,1163,3160,19,0.51
"GET","gold-2",33,0,1700,1792,919,3265,19,0.56
"GET","gold-3",32,0,1700,1796,811,2770,19,0.54
"GET","gold-4",32,0,1700,1825,1009,3818,19,0.54
"GET","gold-5",30,0,1900,1929,675,3013,19,0.51
"GET","gold-6",30,0,2000,1938,1124,2582,19,0.51
"GET","gold-7",29,0,2000,1995,1087,2648,19,0.49
"None","Total",246,0,1900,1884,675,3818,19,4.18
