sep=;
Time;performance.gold.rps;performance.gold.latency
2019-08-05T10:09:00.000Z;1.6;180
2019-08-05T10:09:10.000Z;4.8;345
2019-08-05T10:09:20.000Z;6.1;1531
2019-08-05T10:09:30.000Z;6.6;1733
2019-08-05T10:09:40.000Z;7;1921
2019-08-05T10:09:50.000Z;6.9;54
2019-08-05T10:10:00.000Z;null;null
2019-08-05T10:10:10.000Z;null;null
2019-08-05T10:10:20.000Z;null;null
2019-08-05T10:10:30.000Z;null;null
