sep=;
Time;cpu/usage_rate.sum;memory/usage.mean
2019-08-05T09:49:44.000Z;null;null
2019-08-05T09:49:45.000Z;63;58496146.28571428
2019-08-05T09:49:46.000Z;null;null
2019-08-05T09:49:47.000Z;null;null
2019-08-05T09:49:48.000Z;null;null
2019-08-05T09:49:49.000Z;null;null
2019-08-05T09:49:50.000Z;null;null
2019-08-05T09:49:51.000Z;null;null
2019-08-05T09:49:52.000Z;null;null
2019-08-05T09:49:53.000Z;null;null
2019-08-05T09:49:54.000Z;null;null
2019-08-05T09:49:55.000Z;null;null
2019-08-05T09:49:56.000Z;null;null
2019-08-05T09:49:57.000Z;null;null
2019-08-05T09:49:58.000Z;null;null
2019-08-05T09:49:59.000Z;null;null
2019-08-05T09:50:00.000Z;63;58448749.71428572
2019-08-05T09:50:01.000Z;null;null
2019-08-05T09:50:02.000Z;null;null
2019-08-05T09:50:03.000Z;null;null
2019-08-05T09:50:04.000Z;null;null
2019-08-05T09:50:05.000Z;null;null
2019-08-05T09:50:06.000Z;null;null
2019-08-05T09:50:07.000Z;null;null
2019-08-05T09:50:08.000Z;null;null
2019-08-05T09:50:09.000Z;null;null
2019-08-05T09:50:10.000Z;null;null
2019-08-05T09:50:11.000Z;null;null
2019-08-05T09:50:12.000Z;null;null
2019-08-05T09:50:13.000Z;null;null
2019-08-05T09:50:14.000Z;null;null
2019-08-05T09:50:15.000Z;63;58452260.571428575
2019-08-05T09:50:16.000Z;null;null
2019-08-05T09:50:17.000Z;null;null
2019-08-05T09:50:18.000Z;null;null
2019-08-05T09:50:19.000Z;null;null
2019-08-05T09:50:20.000Z;null;null
2019-08-05T09:50:21.000Z;null;null
2019-08-05T09:50:22.000Z;null;null
2019-08-05T09:50:23.000Z;null;null
2019-08-05T09:50:24.000Z;null;null
2019-08-05T09:50:25.000Z;null;null
2019-08-05T09:50:26.000Z;null;null
2019-08-05T09:50:27.000Z;null;null
2019-08-05T09:50:28.000Z;null;null
2019-08-05T09:50:29.000Z;null;null
2019-08-05T09:50:30.000Z;45;58455771.428571425
2019-08-05T09:50:31.000Z;null;null
2019-08-05T09:50:32.000Z;null;null
2019-08-05T09:50:33.000Z;null;null
2019-08-05T09:50:34.000Z;null;null
2019-08-05T09:50:35.000Z;null;null
2019-08-05T09:50:36.000Z;null;null
2019-08-05T09:50:37.000Z;null;null
2019-08-05T09:50:38.000Z;null;null
2019-08-05T09:50:39.000Z;null;null
2019-08-05T09:50:40.000Z;null;null
2019-08-05T09:50:41.000Z;null;null
2019-08-05T09:50:42.000Z;null;null
2019-08-05T09:50:43.000Z;null;null
2019-08-05T09:50:44.000Z;null;null
2019-08-05T09:50:45.000Z;156;58325869.71428572
2019-08-05T09:50:46.000Z;null;null
2019-08-05T09:50:47.000Z;null;null
2019-08-05T09:50:48.000Z;null;null
2019-08-05T09:50:49.000Z;null;null
2019-08-05T09:50:50.000Z;null;null
2019-08-05T09:50:51.000Z;null;null
2019-08-05T09:50:52.000Z;null;null
2019-08-05T09:50:53.000Z;null;null
2019-08-05T09:50:54.000Z;null;null
2019-08-05T09:50:55.000Z;null;null
2019-08-05T09:50:56.000Z;null;null
2019-08-05T09:50:57.000Z;null;null
2019-08-05T09:50:58.000Z;null;null
2019-08-05T09:50:59.000Z;null;null
2019-08-05T09:51:00.000Z;63;58325869.71428572
2019-08-05T09:51:01.000Z;null;null
2019-08-05T09:51:02.000Z;null;null
2019-08-05T09:51:03.000Z;null;null
2019-08-05T09:51:04.000Z;null;null
2019-08-05T09:51:05.000Z;null;null
2019-08-05T09:51:06.000Z;null;null
2019-08-05T09:51:07.000Z;null;null
2019-08-05T09:51:08.000Z;null;null
2019-08-05T09:51:09.000Z;null;null
2019-08-05T09:51:10.000Z;null;null
2019-08-05T09:51:11.000Z;null;null
2019-08-05T09:51:12.000Z;null;null
