"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET gold-0",4,13000,13000,17000,17000,17000,17000,17000,17000,17000
"GET gold-1",4,12000,12000,15000,15000,15000,15000,15000,15000,15000
"GET gold-2",3,13000,13000,19000,19000,19000,19000,19000,19000,19000
"GET gold-3",4,13000,13000,16000,16000,16000,16000,16000,16000,16000
"GET gold-4",4,13000,13000,16000,16000,16000,16000,16000,16000,16000
"GET gold-5",4,12000,12000,22000,22000,22000,22000,22000,22000,22000
"GET gold-6",4,13000,13000,14000,14000,14000,14000,14000,14000,14000
"GET gold-7",4,13000,13000,21000,21000,21000,21000,21000,21000,21000
"Total",31,12000,13000,14000,15000,17000,21000,22000,22000,22000
