




REPORT optimizer 0 :
config #	worker1CPU	worker1Replicas	worker2CPU	worker2Replicas	worker3CPU	worker3Replicas	demoCPU	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	Tenant-3 Throughtput	Tenant-3 avg Latency	Tenant-3 #Failures	Tenant-4 Throughtput	Tenant-4 avg Latency	Tenant-4 #Failures	Tenant-5 Throughtput	Tenant-5 avg Latency	Tenant-5 #Failures	Tenant-6 Throughtput	Tenant-6 avg Latency	Tenant-6 #Failures	Tenant-7 Throughtput	Tenant-7 avg Latency	Tenant-7 #Failures	Tenant-8 Throughtput	Tenant-8 avg Latency	Tenant-8 #Failures	
0	2200	0	750	2	250	0	800	0.84375	0.55	1718	0	0.55	1730	0	0.53	1780	0	0.55	1750	0	0.5	1883	0	0.55	1788	0	0.55	1800	0	0.55	1724	0	0.53	1756	0	
1	2200	0	750	2	250	2	800	0.7916666666666666	0.69	1422	0	0.74	1349	0	0.69	1427	0	0.62	1598	0	0.61	1635	0	0.66	1529	0	0.69	1421	0	0.64	1557	0	0.67	1453	0	
2	2200	0	750	2	250	1	800	0	0.49	1645	0	0.6	1610	0	0.59	1658	0	0.62	1595	0	0.57	1701	0	0.64	1553	0	0.6	1607	0	0.5	1578	0	0.64	1574	0	
 


