




REPORT optimizer 0 :
config #	worker1CPU	worker1Replicas	worker2CPU	worker2Replicas	worker3CPU	worker3Replicas	demoCPU	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	Tenant-3 Throughtput	Tenant-3 avg Latency	Tenant-3 #Failures	Tenant-4 Throughtput	Tenant-4 avg Latency	Tenant-4 #Failures	Tenant-5 Throughtput	Tenant-5 avg Latency	Tenant-5 #Failures	Tenant-6 Throughtput	Tenant-6 avg Latency	Tenant-6 #Failures	Tenant-7 Throughtput	Tenant-7 avg Latency	Tenant-7 #Failures	
0	2200	1	750	0	250	0	800	0.7708333333333334	0.67	1448	0	0.69	1436	0	0.69	1433	0	0.7	1398	0	0.7	1406	0	0.69	1437	0	0.7	1414	0	0.69	1442	0	
1	2200	1	750	0	250	2	800	0	0.25	3571	0	0.42	2320	0	0.31	3195	0	0.32	3050	0	0.27	3525	0	0.32	2960	0	0.44	2147	0	0.34	2972	0	
2	2200	1	750	0	250	1	800	0	0.61	1648	0	0.46	2150	0	0.49	1987	0	0.66	1498	0	0.48	2075	0	0.63	1584	0	0.56	1760	0	0.61	1602	0	
 


