"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",86,530,890,900,910,950,1000,1100,1800,1800
"GET silver-1",86,520,880,900,920,950,1000,1200,1400,1400
"Total",172,520,890,900,920,950,1000,1200,1400,1800
