




REPORT optimizer 0 :
config #	worker1CPU	worker1Replicas	worker2CPU	worker2Replicas	worker3CPU	worker3Replicas	demoCPU	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	Tenant-3 Throughtput	Tenant-3 avg Latency	Tenant-3 #Failures	
0	2200	0	750	1	250	0	800	0.921875	0.66	1523	0	0.67	1473	0	0.69	1435	0	0.66	1484	0	
1	2200	0	750	1	250	2	800	0	0.83	1204	0	0.39	2571	1	0.85	1178	0	0.75	1330	0	
2	2200	0	750	1	250	1	800	0.8958333333333334	0.75	1326	0	0.72	1375	0	0.75	1266	0	0.74	1351	0	
 


