"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","gold-0",32,0,1700,1807,878,3243,19,0.54
"GET","gold-1",32,0,1700,1833,928,3355,19,0.54
"GET","gold-10",33,0,1700,1783,951,3232,19,0.56
"GET","gold-11",33,0,1600,1779,816,3160,19,0.56
"GET","gold-2",31,0,1700,1846,874,2926,19,0.53
"GET","gold-3",31,0,1800,1883,1286,3353,19,0.53
"GET","gold-4",35,0,1700,1693,506,2597,19,0.59
"GET","gold-5",33,0,1700,1744,1076,2791,19,0.56
"GET","gold-6",32,0,1700,1859,1025,3350,19,0.54
"GET","gold-7",35,0,1600,1692,707,2971,19,0.59
"GET","gold-8",32,0,1700,1817,1043,3192,19,0.54
"GET","gold-9",31,0,1800,1930,1114,4096,19,0.53
"None","Total",390,0,1700,1803,506,4096,19,6.62
