"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",29147820,7,8,9,10,12,15,21,30,133000
"GET silver-1",29149287,7,8,9,10,12,15,21,30,132000
"Total",58297107,7,8,9,10,12,15,21,30,133000
