




REPORT optimizer 0 :
config #	worker1CPU	worker1Replicas	worker2CPU	worker2Replicas	worker3CPU	worker3Replicas	demoCPU	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	Tenant-3 Throughtput	Tenant-3 avg Latency	Tenant-3 #Failures	
0	2200	0	750	1	250	0	800	0.921875	0.66	1514	0	0.68	1471	0	0.64	1512	0	0.68	1468	0	
1	2200	0	750	1	250	2	800	0	0.37	2672	0	0.34	2949	0	0.34	2962	0	0.32	3091	0	
2	2200	0	750	1	250	1	800	0	0.48	2089	0	0.44	2252	0	0.44	2285	0	0.42	2383	0	
 


