"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","gold-0",3,0,15000,18207,14229,25312,19,0.05
"GET","gold-1",3,0,15000,15266,12689,18316,19,0.05
"GET","gold-2",3,0,15000,15733,11097,21212,19,0.05
"GET","gold-3",3,0,20000,18932,16716,20205,19,0.05
"GET","gold-4",3,0,15000,18437,13898,26909,19,0.05
"GET","gold-5",3,0,14000,16694,13196,23109,19,0.05
"GET","gold-6",3,0,16000,16670,12402,21812,19,0.05
"GET","gold-7",4,0,14000,14854,13283,16917,19,0.07
"GET","gold-8",3,0,16000,17670,13504,23698,19,0.05
"GET","gold-9",3,0,16000,19204,13304,27994,19,0.05
"None","Total",31,0,15000,17092,11097,27994,19,0.53
