"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",35,1700,1900,2000,2000,2100,2200,2200,2200,2200
"GET silver-1",36,1700,1800,1800,1800,2100,2200,2300,2300,2300
"GET silver-2",35,1600,1800,1800,2000,2000,2300,2300,2300,2300
"Total",106,1700,1800,1900,2000,2100,2200,2300,2300,2300
