




REPORT optimizer 0 :
config #	worker1CPU	worker1Replicas	worker2CPU	worker2Replicas	worker3CPU	worker3Replicas	demoCPU	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	Tenant-3 Throughtput	Tenant-3 avg Latency	Tenant-3 #Failures	Tenant-4 Throughtput	Tenant-4 avg Latency	Tenant-4 #Failures	Tenant-5 Throughtput	Tenant-5 avg Latency	Tenant-5 #Failures	Tenant-6 Throughtput	Tenant-6 avg Latency	Tenant-6 #Failures	Tenant-7 Throughtput	Tenant-7 avg Latency	Tenant-7 #Failures	
0	2200	0	750	2	250	0	800	0.84375	0.64	1557	0	0.62	1575	0	0.62	1588	0	0.6	1624	0	0.64	1571	0	0.62	1591	0	0.62	1602	0	0.65	1509	0	
1	2200	0	750	2	250	2	800	0	0.7	1408	0	0.69	1427	0	0.67	1463	0	0.7	1411	0	0.74	1327	0	0.72	1368	0	0.35	2803	1	0.72	1384	0	
2	2200	0	750	2	250	1	800	0.8177083333333334	0.65	1533	0	0.59	1663	0	0.66	1522	0	0.61	1636	0	0.65	1541	0	0.68	1449	0	0.68	1481	0	0.65	1553	0	
 


