




REPORT optimizer 0 :
config #	worker1CPU	worker1Replicas	worker2CPU	worker2Replicas	worker3CPU	worker3Replicas	demoCPU	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	Tenant-3 Throughtput	Tenant-3 avg Latency	Tenant-3 #Failures	Tenant-4 Throughtput	Tenant-4 avg Latency	Tenant-4 #Failures	Tenant-5 Throughtput	Tenant-5 avg Latency	Tenant-5 #Failures	
0	2200	0	750	2	250	0	800	0.84375	0.79	1262	0	0.86	1111	0	0.81	1229	0	0.83	1218	0	0.76	1314	0	0.79	1273	0	
1	2200	0	750	2	250	1	800	0.8177083333333334	0.77	1284	0	0.72	1353	0	0.67	1473	0	0.75	1318	0	0.75	1303	0	0.77	1288	0	
 


