"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","gold-0",42,0,1400,1383,477,2534,19,0.71
"GET","gold-1",35,0,1500,1659,632,3498,19,0.59
"GET","gold-2",38,0,1400,1502,419,3518,19,0.64
"GET","gold-3",43,0,1300,1356,347,3593,19,0.72
"GET","gold-4",42,0,1400,1399,731,2508,19,0.71
"GET","gold-5",34,0,1500,1657,624,4717,19,0.57
"GET","gold-6",38,0,1300,1532,454,3882,19,0.64
"GET","gold-7",38,0,1500,1535,582,3102,19,0.64
"GET","gold-8",36,0,1300,1622,782,4401,19,0.61
"GET","gold-9",43,0,1400,1372,490,2446,19,0.72
"None","Total",389,0,1400,1492,347,4717,19,6.54
