




REPORT optimizer 0 :
config #	worker1CPU	worker1Replicas	worker2CPU	worker2Replicas	worker3CPU	worker3Replicas	demoCPU	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	Tenant-3 Throughtput	Tenant-3 avg Latency	Tenant-3 #Failures	Tenant-4 Throughtput	Tenant-4 avg Latency	Tenant-4 #Failures	Tenant-5 Throughtput	Tenant-5 avg Latency	Tenant-5 #Failures	
0	2200	0	750	1	250	0	800	0	0.44	2212	0	0.44	2212	0	0.46	2178	0	0.46	2176	0	0.44	2222	0	0.47	2116	0	
1	2200	0	750	1	250	2	800	0.8697916666666666	0.62	1611	0	0.63	1578	0	0.56	1770	0	0.6	1671	0	0.72	1397	0	0.56	1781	0	
2	2200	0	750	1	250	1	800	0.8958333333333334	0.59	1626	0	0.56	1790	0	0.66	1528	0	0.54	1868	0	0.59	1694	0	0.54	1794	0	
 


