"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET gold-0",38,1400,1800,1900,1900,2500,2600,2600,2600,2600
"GET gold-1",35,1600,1800,1900,2000,2200,3000,3000,3000,3000
"GET gold-2",39,1400,1700,1900,2000,2300,2700,3100,3100,3100
"GET gold-3",36,1500,1800,2000,2000,2700,2900,3500,3500,3500
"GET gold-4",38,1400,1700,1800,1900,2500,2900,3300,3300,3300
"GET gold-5",40,1500,1500,1800,1900,2500,2700,2800,2800,2800
"GET gold-6",40,1400,1600,2000,2100,2700,2800,2800,2800,2800
"GET gold-7",38,1600,1700,1800,1900,2200,2700,3000,3000,3000
"Total",304,1500,1700,1900,2000,2500,2700,2900,3000,3500
