"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET gold-0",43,1200,1600,1800,1900,2200,2900,3000,3000,3000
"GET gold-1",42,1200,1600,2000,2100,2300,2600,3200,3200,3200
"GET gold-2",17,1800,2200,2300,2400,2700,31000,31000,31000,31000
"GET gold-3",39,1200,1500,2200,2200,2500,3200,3200,3200,3200
"GET gold-4",51,1000,1300,1700,1700,1900,2500,2900,3200,3200
"GET gold-5",46,1100,1300,1900,1900,2400,2500,2600,2600,2600
"GET gold-6",19,1500,1900,2100,2100,3100,31000,31000,31000,31000
"GET gold-7",45,1000,1600,1900,1900,2200,2500,3100,3100,3100
"GET gold-8",39,1200,1400,1900,2200,2600,2900,2900,2900,2900
"GET gold-9",22,1400,1700,1800,1800,2100,2700,31000,31000,31000
"Total",363,1200,1600,1900,2000,2400,2700,3100,3200,31000
