"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","gold-0",43,0,1200,1357,420,3001,19,0.73
"GET","gold-1",42,0,1200,1394,269,3198,19,0.71
"GET","gold-2",17,1,1800,3487,709,30934,17,0.29
"GET","gold-3",39,0,1200,1500,466,3207,19,0.66
"GET","gold-4",51,0,1000,1163,213,3197,19,0.86
"GET","gold-5",46,0,1100,1263,353,2604,19,0.78
"GET","gold-6",19,1,1500,3127,602,30831,18,0.32
"GET","gold-7",45,0,1000,1307,304,3111,19,0.76
"GET","gold-8",39,0,1200,1493,625,2907,19,0.66
"GET","gold-9",22,1,1300,2705,441,31028,18,0.37
"None","Total",363,3,1200,1620,213,31028,18,6.13
