




REPORT optimizer 0 :
config #	workerCPU	workerReplicas	demoCPU	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	
0	860	1	800	0.14085914085914086	5.83	173	0	5.88	170	0	
1	640	1	800	0.36063936063936064	2.39	415	0	2.4	416	0	
2	760	1	800	0.2407592407592407	3.54	283	0	3.56	284	0	
3	900	1	800	0.10089910089910092	5.14	194	0	5.2	193	0	
4	560	1	800	0.4405594405594405	1.61	625	0	1.66	610	0	
5	740	1	800	0.2607392607392608	3.72	270	0	3.77	269	0	
6	380	1	800	0	0.28	3674	0	0.28	3643	0	
7	700	1	800	0.30069930069930073	3.25	307	0	3.25	304	0	
8	580	1	800	0.42057942057942055	1.1	911	0	1.18	852	0	
9	40	1	800	0	0.03	30569	1	0.03	31036	1	
10	800	1	800	0.20079920079920077	4.76	210	0	4.67	212	0	
11	20	1	800	0	0.03	30222	1	0.03	30716	1	
12	240	1	800	0	0.08	11365	1	0.08	11947	1	
13	60	1	800	0	0.03	30874	1	0.03	30454	1	
14	720	1	800	0.28071928071928076	1.69	593	0	1.71	592	0	
15	220	1	800	0	0.1	9819	1	0.1	9900	1	
16	140	1	800	0	0.03	30634	1	0.03	30135	1	
17	880	1	800	0.1208791208791209	4.35	230	0	4.3	234	0	
18	900	1	800	0.10089910089910092	5.14	194	0	5.2	193	0	
19	240	1	800	0	0.08	11365	1	0.08	11947	1	
20	580	1	800	0.42057942057942055	1.1	911	0	1.18	852	0	
21	320	1	800	0	0.27	3738	0	0.25	3746	0	
22	820	1	800	0.1808191808191808	2.71	370	0	2.71	373	0	
23	120	1	800	0	0.03	30300	1	0.03	30796	1	
24	500	1	800	0	0.44	2171	0	0.44	2246	0	
25	600	1	800	0.4005994005994006	1.68	600	0	1.68	604	0	
26	660	1	800	0.34065934065934067	2.89	343	0	2.88	348	0	
27	180	1	800	0	0.03	30924	1	0.03	30424	1	
28	300	1	800	0	0.24	4147	0	0.26	3904	0	
29	280	1	800	0	0.23	4377	0	0.23	4346	0	
30	340	1	800	0	0.31	3181	0	0.33	3040	0	
31	120	1	800	0	0.03	30300	1	0.03	30796	1	
32	480	1	800	0.5204795204795205	0.55	1816	0	0.54	1852	0	
33	780	1	800	0.22077922077922074	3.28	304	0	3.28	301	0	
34	260	1	800	0	0.09	11542	1	0.09	11457	1	
35	540	1	800	0.4605394605394605	1.67	605	0	1.65	597	0	
36	460	1	800	0.5404595404595405	0.51	1992	0	0.51	1978	0	
37	180	1	800	0	0.03	30924	1	0.03	30424	1	
38	720	1	800	0.28071928071928076	1.69	593	0	1.71	592	0	
39	420	1	800	0.5804195804195804	0.54	1842	0	0.54	1857	0	
40	400	1	800	0	0.4	2496	0	0.39	2583	0	
41	940	1	800	0.060939060939060985	5	199	0	4.98	202	0	
42	620	1	800	0.3806193806193806	0.75	1330	0	0.75	1341	0	
43	840	1	800	0.16083916083916083	4.44	225	0	4.41	224	0	
44	80	1	800	0	0.03	30612	1	0.03	31105	1	
45	440	1	800	0	0.38	2614	0	0.37	2712	0	
46	360	1	800	0	0.34	2968	0	0.34	2948	0	
47	80	1	800	0	0.03	30612	1	0.03	31105	1	
48	960	1	800	0.040959040959040904	5.14	194	0	5.17	192	0	
49	520	1	800	0.48051948051948057	1.12	894	0	1.11	900	0	
 


