"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",24,2300,2900,3300,4100,4200,4300,4500,4500,4500
"GET silver-1",23,2200,3100,3400,3900,4500,4600,4600,4600,4600
"Total",47,2200,2900,3400,3900,4300,4500,4600,4600,4600
