




REPORT optimizer 0 :
config #	worker1CPU	worker1Replicas	worker2CPU	worker2Replicas	worker3CPU	worker3Replicas	demoCPU	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	Tenant-3 Throughtput	Tenant-3 avg Latency	Tenant-3 #Failures	Tenant-4 Throughtput	Tenant-4 avg Latency	Tenant-4 #Failures	Tenant-5 Throughtput	Tenant-5 avg Latency	Tenant-5 #Failures	
0	2200	0	750	2	250	0	800	0	0.42	2385	1	0.87	1149	0	0.84	1162	0	0.89	1103	0	0.86	1158	0	0.86	1157	0	
1	2200	0	750	2	250	2	800	0	0.45	2259	0	0.36	2785	0	0.48	2104	0	0.41	2435	0	0.41	2426	0	0.38	2641	0	
2	2200	0	750	2	250	1	800	0	0.48	2028	0	0.57	1755	0	0.5	1967	0	0.57	1726	0	0.61	1625	0	0.52	1921	0	
 


