"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","gold-0",37,0,1600,1580,453,2328,19,0.62
"GET","gold-1",35,0,1500,1677,907,3012,19,0.59
"GET","gold-2",36,0,1500,1597,760,3118,19,0.61
"GET","gold-3",38,0,1500,1544,756,2618,19,0.64
"GET","gold-4",33,0,1700,1802,942,2982,19,0.56
"GET","gold-5",34,0,1600,1694,663,3084,19,0.57
"GET","gold-6",36,0,1600,1594,868,2804,19,0.61
"GET","gold-7",36,0,1500,1622,584,3225,19,0.61
"GET","gold-8",39,0,1500,1524,487,2715,19,0.66
"GET","gold-9",34,0,1600,1701,369,4300,19,0.57
"None","Total",358,0,1600,1630,369,4300,19,6.03
