"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",14,4200,5100,5300,5800,6000,6000,6000,6000,6000
"GET silver-1",14,3900,5300,5300,5500,5700,7200,7200,7200,7200
"GET silver-2",14,4100,5100,5300,5400,5700,5700,5700,5700,5700
"GET silver-3",14,4100,5200,5400,5400,5600,5700,5700,5700,5700
"GET silver-4",13,4000,5300,5500,5500,5500,7300,7300,7300,7300
"GET silver-5",14,4100,5000,5200,5300,5400,5500,5500,5500,5500
"GET silver-6",14,4500,5000,5200,5900,5900,6500,6500,6500,6500
"GET silver-7",14,4300,5000,5200,5800,5900,6800,6800,6800,6800
"GET silver-8",14,4300,5000,5000,5900,5900,6300,6300,6300,6300
"GET silver-9",14,4000,5100,5300,5600,5700,7100,7100,7100,7100
"Total",139,4100,5100,5300,5400,5800,6000,7100,7200,7300
