"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",32,1800,2000,2100,2100,2300,3700,4200,4200,4200
"GET silver-1",32,1700,2000,2000,2100,2300,3800,4100,4100,4100
"GET silver-2",31,1500,1900,2000,2000,2300,4000,5000,5000,5000
"GET silver-3",31,1700,1900,2100,2100,2300,3800,5200,5200,5200
"GET silver-4",31,1500,1900,2000,2000,2300,4100,4800,4800,4800
"GET silver-5",31,1600,1900,2000,2100,2300,4000,4500,4500,4500
"GET silver-6",31,1800,2000,2100,2100,2400,3700,5500,5500,5500
"Total",219,1700,2000,2000,2100,2400,3800,4500,5000,5500
