




REPORT optimizer 0 :
config #	worker1CPU	worker1Replicas	worker2CPU	worker2Replicas	worker3CPU	worker3Replicas	demoCPU	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	
0	2200	0	750	1	250	0	800	0.921875	0.92	1087	0	0.92	1084	0	0.9	1084	0	
1	2200	0	750	1	250	2	800	0.8697916666666666	0.8	1249	0	0.82	1216	0	0.96	1056	0	
2	2200	0	750	1	250	1	800	0.8958333333333334	0.61	1045	0	0.84	1220	0	0.92	1087	0	
 


