sep=;
Time;performance.gold.rps;performance.gold.latency
2019-08-05T22:22:10.000Z;1.1;2280
2019-08-05T22:22:20.000Z;1.2;1696
2019-08-05T22:22:30.000Z;1.1;8
2019-08-05T22:22:40.000Z;1.1;1488
2019-08-05T22:22:50.000Z;0.8;1689
2019-08-05T22:23:00.000Z;0.6;1108
2019-08-05T22:23:10.000Z;0.7;null
2019-08-05T22:23:20.000Z;0.7;null
2019-08-05T22:23:30.000Z;0.7;null
2019-08-05T22:23:40.000Z;0.4;1811
2019-08-05T22:23:50.000Z;0.6;1699
2019-08-05T22:24:00.000Z;0.6;5
2019-08-05T22:24:10.000Z;0.9;2992
2019-08-05T22:24:20.000Z;0.9;1672
2019-08-05T22:24:30.000Z;1.1;7
2019-08-05T22:24:40.000Z;1.2;1813
2019-08-05T22:24:50.000Z;1.4;1904
2019-08-05T22:25:00.000Z;1.6;2584
2019-08-05T22:25:10.000Z;1.8;2901
2019-08-05T22:25:20.000Z;1.8;2107
2019-08-05T22:25:30.000Z;1.8;1473
2019-08-05T22:25:40.000Z;2.2;2694
2019-08-05T22:25:50.000Z;2.3;2396
2019-08-05T22:26:00.000Z;0;0
2019-08-05T22:26:10.000Z;3.2;3188
2019-08-05T22:26:20.000Z;3.8;1957
2019-08-05T22:26:30.000Z;5.5;2077
2019-08-05T22:26:40.000Z;5.2;2030
2019-08-05T22:26:50.000Z;5.1;1273
2019-08-05T22:27:00.000Z;4.9;1912
2019-08-05T22:27:10.000Z;5.4;2408
2019-08-05T22:27:20.000Z;5.7;1576
2019-08-05T22:27:30.000Z;5.9;1865
2019-08-05T22:27:40.000Z;5.2;1986
2019-08-05T22:27:50.000Z;5.7;2367
2019-08-05T22:28:00.000Z;5.3;1549
2019-08-05T22:28:10.000Z;5.6;1274
2019-08-05T22:28:20.000Z;5.6;1958
2019-08-05T22:28:30.000Z;5.4;1378
2019-08-05T22:28:40.000Z;5;1508
2019-08-05T22:28:50.000Z;4.4;1081
2019-08-05T22:29:00.000Z;4.1;1891
2019-08-05T22:29:10.000Z;2.8;1502
2019-08-05T22:29:20.000Z;2.5;1894
2019-08-05T22:29:30.000Z;2.7;897
2019-08-05T22:29:40.000Z;2.6;1007
2019-08-05T22:29:50.000Z;2.2;995
2019-08-05T22:30:00.000Z;1.6;1090
2019-08-05T22:30:10.000Z;1.5;1092
2019-08-05T22:30:20.000Z;0.9;1196
2019-08-05T22:30:30.000Z;0.8;1283
2019-08-05T22:30:40.000Z;0.7;1886
2019-08-05T22:30:50.000Z;0;0
2019-08-05T22:31:00.000Z;0;0
2019-08-05T22:31:10.000Z;0;0
2019-08-05T22:31:20.000Z;0;0
2019-08-05T22:31:30.000Z;0;0
2019-08-05T22:31:40.000Z;0;0
2019-08-05T22:31:50.000Z;0;0
2019-08-05T22:32:00.000Z;0;0
2019-08-05T22:32:10.000Z;0;0
2019-08-05T22:32:20.000Z;0;0
