sep=;
Time;performance.gold.rps;performance.gold.latency
2019-08-05T20:15:30.000Z;1.2;null
2019-08-05T20:15:40.000Z;0.3;1316
2019-08-05T20:15:50.000Z;0.6;1501
2019-08-05T20:16:00.000Z;0.6;1887
2019-08-05T20:16:10.000Z;0.6;2179
2019-08-05T20:16:20.000Z;0.5;1798
2019-08-05T20:16:30.000Z;0.6;1881
2019-08-05T20:16:40.000Z;0.8;1416
2019-08-05T20:16:50.000Z;1.1;2275
2019-08-05T20:17:00.000Z;0.9;2698
2019-08-05T20:17:10.000Z;1;1613
2019-08-05T20:17:20.000Z;2.4;856
2019-08-05T20:17:30.000Z;2.1;630
2019-08-05T20:17:40.000Z;2.8;981
2019-08-05T20:17:50.000Z;2.8;null
2019-08-05T20:18:00.000Z;2.8;null
2019-08-05T20:18:10.000Z;1.6;1090
2019-08-05T20:18:20.000Z;3.4;2063
2019-08-05T20:18:30.000Z;3.4;1491
2019-08-05T20:18:40.000Z;4.1;3995
2019-08-05T20:18:50.000Z;4.9;950
2019-08-05T20:19:00.000Z;6;1725
2019-08-05T20:19:10.000Z;6;1250
2019-08-05T20:19:20.000Z;5.6;1029
2019-08-05T20:19:30.000Z;5.9;1057
2019-08-05T20:19:40.000Z;5.3;1620
2019-08-05T20:19:50.000Z;6.1;1828
2019-08-05T20:20:00.000Z;6.1;1404
2019-08-05T20:20:10.000Z;6;1817
2019-08-05T20:20:20.000Z;5.9;1981
2019-08-05T20:20:30.000Z;5.6;1611
2019-08-05T20:20:40.000Z;5.3;1636
2019-08-05T20:20:50.000Z;6.5;1944
2019-08-05T20:21:00.000Z;6;1370
2019-08-05T20:21:10.000Z;5.8;796
2019-08-05T20:21:20.000Z;5.3;1905
2019-08-05T20:21:30.000Z;4.1;5
2019-08-05T20:21:40.000Z;4;590
2019-08-05T20:21:50.000Z;3.5;937
2019-08-05T20:22:00.000Z;3.3;906
2019-08-05T20:22:10.000Z;2.9;1349
2019-08-05T20:22:20.000Z;1.3;1193
2019-08-05T20:22:30.000Z;0.7;10
2019-08-05T20:22:40.000Z;0.9;1458
2019-08-05T20:22:50.000Z;1.1;1681
2019-08-05T20:23:00.000Z;0.8;1501
2019-08-05T20:23:10.000Z;0.7;1783
2019-08-05T20:23:20.000Z;0.7;null
2019-08-05T20:23:30.000Z;0;0
2019-08-05T20:23:40.000Z;0;0
2019-08-05T20:23:50.000Z;0;0
2019-08-05T20:24:00.000Z;0;0
2019-08-05T20:24:10.000Z;0;0
2019-08-05T20:24:20.000Z;0;0
2019-08-05T20:24:30.000Z;0;0
2019-08-05T20:24:40.000Z;0;0
