




REPORT optimizer 0 :
config #	worker1CPU	worker1Replicas	worker2CPU	worker2Replicas	worker3CPU	worker3Replicas	demoCPU	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	
0	2200	0	750	1	250	0	800	0.921875	0.86	1146	0	0.89	1130	0	0.87	1140	0	
1	2200	0	750	1	250	2	800	0	0.89	1117	0	0.42	2386	1	0.4	2447	1	
2	2200	0	750	1	250	1	800	0.8958333333333334	0.76	1308	0	0.78	1267	0	0.83	1197	0	
 


