"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",12,4200,5800,7000,7000,8000,8600,8600,8600,8600
"GET silver-1",13,4200,5600,5700,5800,7300,8200,8200,8200,8200
"GET silver-2",12,4100,5900,7100,7100,7800,7800,7800,7800,7800
"GET silver-3",13,4900,5300,5400,5800,7500,8100,8100,8100,8100
"GET silver-4",12,5000,5200,7000,7000,7100,8000,8000,8000,8000
"GET silver-5",12,4900,5400,6400,6400,6900,8100,8100,8100,8100
"Total",74,4800,5500,5900,6900,7800,8100,8200,8600,8600
