




REPORT optimizer 0 :
config #	workerCPU	workerReplicas	demoCPU	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	Tenant-3 Throughtput	Tenant-3 avg Latency	Tenant-3 #Failures	Tenant-4 Throughtput	Tenant-4 avg Latency	Tenant-4 #Failures	Tenant-5 Throughtput	Tenant-5 avg Latency	Tenant-5 #Failures	Tenant-6 Throughtput	Tenant-6 avg Latency	Tenant-6 #Failures	Tenant-7 Throughtput	Tenant-7 avg Latency	Tenant-7 #Failures	
0	890	1	800	0.01220865704772478	0.54	1860	0	0.52	1873	0	0.52	1867	0	0.54	1857	0	0.54	1854	0	0.52	1870	0	0.54	1851	0	0.52	1876	0	
1	880	1	800	0.023307436182020025	0.55	1763	0	0.57	1762	0	0.55	1779	0	0.55	1766	0	0.55	1770	0	0.55	1776	0	0.55	1782	0	0.55	1773	0	
2	880	1	800	0.023307436182020025	0.55	1763	0	0.57	1762	0	0.55	1779	0	0.55	1766	0	0.55	1770	0	0.55	1776	0	0.55	1782	0	0.55	1773	0	
 


