"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",67,120,1000,2000,2000,2400,2900,3300,4300,4300
"GET silver-1",66,140,1000,2000,2000,2400,2900,3200,4300,4300
"Total",133,120,1000,2000,2000,2400,2900,3300,4300,4300
