sep=;
Time;cpu/usage_rate.sum;cpu/request.sum;performance.gold.users
2019-08-05T20:52:26.500Z;undefined;null;undefined
2019-08-05T20:52:27.000Z;undefined;null;undefined
2019-08-05T20:52:27.500Z;undefined;null;undefined
2019-08-05T20:52:28.000Z;undefined;null;undefined
2019-08-05T20:52:28.500Z;undefined;null;undefined
2019-08-05T20:52:29.000Z;undefined;null;undefined
2019-08-05T20:52:29.500Z;undefined;null;undefined
2019-08-05T20:52:30.000Z;undefined;1000;undefined
2019-08-05T20:52:30.500Z;undefined;null;undefined
2019-08-05T20:52:31.000Z;undefined;null;undefined
2019-08-05T20:52:31.500Z;undefined;null;undefined
2019-08-05T20:52:32.000Z;undefined;null;undefined
2019-08-05T20:52:32.500Z;undefined;null;undefined
2019-08-05T20:52:33.000Z;undefined;null;undefined
2019-08-05T20:52:33.500Z;undefined;null;undefined
2019-08-05T20:52:34.000Z;undefined;null;undefined
2019-08-05T20:52:34.500Z;undefined;null;undefined
2019-08-05T20:52:35.000Z;undefined;null;undefined
2019-08-05T20:52:35.500Z;undefined;null;undefined
2019-08-05T20:52:36.000Z;undefined;null;undefined
2019-08-05T20:52:36.500Z;undefined;null;undefined
2019-08-05T20:52:37.000Z;undefined;null;undefined
2019-08-05T20:52:37.500Z;undefined;null;undefined
2019-08-05T20:52:38.000Z;undefined;null;undefined
2019-08-05T20:52:38.500Z;undefined;null;undefined
2019-08-05T20:52:39.000Z;undefined;null;undefined
2019-08-05T20:52:39.500Z;undefined;null;undefined
2019-08-05T20:52:40.000Z;undefined;null;undefined
2019-08-05T20:52:40.500Z;undefined;null;undefined
2019-08-05T20:52:41.000Z;undefined;null;undefined
2019-08-05T20:52:41.500Z;undefined;null;undefined
2019-08-05T20:52:42.000Z;undefined;null;undefined
2019-08-05T20:52:42.500Z;undefined;null;undefined
2019-08-05T20:52:43.000Z;undefined;null;undefined
2019-08-05T20:52:43.500Z;undefined;null;undefined
2019-08-05T20:52:44.000Z;undefined;null;undefined
2019-08-05T20:52:44.500Z;undefined;null;undefined
2019-08-05T20:52:45.000Z;undefined;1000;undefined
2019-08-05T20:52:45.500Z;undefined;null;undefined
2019-08-05T20:52:46.000Z;undefined;null;undefined
2019-08-05T20:52:46.500Z;undefined;null;undefined
2019-08-05T20:52:47.000Z;undefined;null;undefined
2019-08-05T20:52:47.500Z;undefined;null;undefined
2019-08-05T20:52:48.000Z;undefined;null;undefined
2019-08-05T20:52:48.500Z;undefined;null;undefined
2019-08-05T20:52:49.000Z;undefined;null;undefined
2019-08-05T20:52:49.500Z;undefined;null;undefined
2019-08-05T20:52:50.000Z;undefined;null;undefined
2019-08-05T20:52:50.500Z;undefined;null;undefined
2019-08-05T20:52:51.000Z;undefined;null;undefined
2019-08-05T20:52:51.500Z;undefined;null;undefined
2019-08-05T20:52:52.000Z;undefined;null;undefined
2019-08-05T20:52:52.500Z;undefined;null;undefined
2019-08-05T20:52:53.000Z;undefined;null;undefined
2019-08-05T20:52:53.500Z;undefined;null;undefined
2019-08-05T20:52:54.000Z;undefined;null;undefined
2019-08-05T20:52:54.500Z;undefined;null;undefined
2019-08-05T20:52:55.000Z;undefined;null;undefined
2019-08-05T20:52:55.500Z;undefined;null;undefined
2019-08-05T20:52:56.000Z;undefined;null;undefined
2019-08-05T20:52:56.500Z;undefined;null;undefined
2019-08-05T20:52:57.000Z;undefined;null;undefined
2019-08-05T20:52:57.500Z;undefined;null;undefined
2019-08-05T20:52:58.000Z;undefined;null;undefined
2019-08-05T20:52:58.500Z;undefined;null;undefined
2019-08-05T20:52:59.000Z;undefined;null;undefined
2019-08-05T20:52:59.500Z;undefined;null;undefined
2019-08-05T20:53:00.000Z;undefined;1000;undefined
2019-08-05T20:53:00.500Z;undefined;null;undefined
2019-08-05T20:53:01.000Z;undefined;null;undefined
2019-08-05T20:53:01.500Z;undefined;null;undefined
2019-08-05T20:53:02.000Z;undefined;null;undefined
2019-08-05T20:53:02.500Z;undefined;null;undefined
2019-08-05T20:53:03.000Z;undefined;null;undefined
2019-08-05T20:53:03.500Z;undefined;null;undefined
2019-08-05T20:53:04.000Z;undefined;null;undefined
2019-08-05T20:53:04.500Z;undefined;null;undefined
2019-08-05T20:53:05.000Z;undefined;null;undefined
2019-08-05T20:53:05.500Z;undefined;null;undefined
2019-08-05T20:53:06.000Z;undefined;null;undefined
2019-08-05T20:53:06.500Z;undefined;null;undefined
2019-08-05T20:53:07.000Z;undefined;null;undefined
2019-08-05T20:53:07.500Z;undefined;null;undefined
2019-08-05T20:53:08.000Z;undefined;null;undefined
2019-08-05T20:53:08.500Z;undefined;null;undefined
2019-08-05T20:53:09.000Z;undefined;null;undefined
2019-08-05T20:53:09.500Z;undefined;null;undefined
2019-08-05T20:53:10.000Z;undefined;null;undefined
2019-08-05T20:53:10.500Z;undefined;null;undefined
2019-08-05T20:53:11.000Z;undefined;null;undefined
2019-08-05T20:53:11.500Z;undefined;null;undefined
2019-08-05T20:53:12.000Z;undefined;null;undefined
2019-08-05T20:53:12.500Z;undefined;null;undefined
2019-08-05T20:53:13.000Z;undefined;null;undefined
2019-08-05T20:53:13.500Z;undefined;null;undefined
2019-08-05T20:53:14.000Z;undefined;null;undefined
2019-08-05T20:53:14.500Z;undefined;null;undefined
2019-08-05T20:53:15.000Z;undefined;1000;undefined
2019-08-05T20:53:15.500Z;undefined;null;undefined
