"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",42,810,1600,2200,2600,3500,3600,4100,4100,4100
"Total",42,810,1600,2200,2600,3500,3600,4100,4100,4100
