"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",63,520,1200,1500,1700,2200,2600,3000,3000,3000
"Total",63,520,1200,1500,1700,2200,2600,3000,3000,3000
