"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",33,1300,2400,2700,3200,3700,4200,5500,5500,5500
"Total",33,1300,2400,2700,3200,3700,4200,5500,5500,5500
