"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",33,1800,1800,1900,2200,2500,2700,3600,3600,3600
"GET silver-1",34,1800,1800,1900,2100,2200,2800,2900,2900,2900
"GET silver-2",33,1800,1800,1900,2100,2600,3000,3100,3100,3100
"GET silver-3",33,1800,1800,1900,2200,2600,2700,3300,3300,3300
"GET silver-4",33,1800,1800,1900,2100,2600,2900,3300,3300,3300
"GET silver-5",34,1800,1800,1900,2000,2300,3000,3000,3000,3000
"GET silver-6",34,1800,1900,1900,1900,2400,2700,2900,2900,2900
"Total",234,1800,1800,1900,2100,2500,2700,3000,3300,3600
