




REPORT optimizer 0 :
config #	worker1CPU	worker1Replicas	worker2CPU	worker2Replicas	worker3CPU	worker3Replicas	demoCPU	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	Tenant-3 Throughtput	Tenant-3 avg Latency	Tenant-3 #Failures	Tenant-4 Throughtput	Tenant-4 avg Latency	Tenant-4 #Failures	Tenant-5 Throughtput	Tenant-5 avg Latency	Tenant-5 #Failures	Tenant-6 Throughtput	Tenant-6 avg Latency	Tenant-6 #Failures	Tenant-7 Throughtput	Tenant-7 avg Latency	Tenant-7 #Failures	Tenant-8 Throughtput	Tenant-8 avg Latency	Tenant-8 #Failures	Tenant-9 Throughtput	Tenant-9 avg Latency	Tenant-9 #Failures	
0	2200	1	750	0	250	0	800	0.7708333333333334	0.57	1754	0	0.56	1757	0	0.57	1755	0	0.56	1757	0	0.56	1775	0	0.56	1759	0	0.56	1766	0	0.57	1751	0	0.56	1759	0	0.57	1743	0	
1	2200	1	750	0	250	2	800	0	0.2	4678	0	0.22	4470	0	0.32	2979	0	0.22	4268	0	0.31	3145	0	0.27	3616	0	0.29	3449	1	0.31	3120	0	0.24	4125	0	0.22	4483	0	
2	2200	1	750	0	250	1	800	0	0.29	3247	0	0.36	2735	0	0.39	2422	0	0.56	1790	0	0.44	1908	0	0.36	2616	0	0.51	1865	0	0.42	2208	0	0.37	2642	0	0.47	2035	0	
 


