"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",35,1800,1800,1800,1900,1900,2100,2400,2400,2400
"GET silver-1",35,1800,1800,1900,1900,1900,2000,2200,2200,2200
"GET silver-2",35,1700,1800,1900,1900,1900,2000,2100,2100,2100
"GET silver-3",36,1800,1800,1900,1900,1900,2000,2100,2100,2100
"GET silver-4",35,1800,1800,1900,1900,1900,2200,2300,2300,2300
"GET silver-5",36,1800,1800,1800,1800,1900,1900,2100,2100,2100
"Total",212,1800,1800,1800,1900,1900,2000,2100,2200,2400
