"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",266,43,62,73,89,960,1300,1800,2000,2400
"GET silver-1",264,43,60,74,91,940,1300,1700,2000,2400
"Total",530,43,61,73,91,960,1300,1800,2000,2400
