"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","silver-0",25,0,1700,2334,1091,6918,19,0.42
"GET","silver-1",26,0,1600,2285,1086,4961,19,0.44
"GET","silver-2",26,0,1700,2284,1081,4703,19,0.44
"GET","silver-3",26,0,1600,2284,1087,4715,19,0.44
"GET","silver-4",26,0,1600,2284,1083,4928,19,0.44
"GET","silver-5",25,0,1700,2334,1084,6833,19,0.42
"GET","silver-6",25,0,1700,2332,1091,5971,19,0.42
"GET","silver-7",26,0,1600,2285,1093,5761,19,0.44
"GET","silver-8",25,0,1700,2333,1091,6106,19,0.42
"GET","silver-9",26,0,1600,2284,1085,4727,19,0.44
"None","Total",256,0,1700,2303,1081,6918,19,4.32
