"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","silver-0",15,0,3700,3907,1581,5841,19,0.25
"GET","silver-1",15,0,3500,3936,1847,6827,19,0.25
"GET","silver-2",15,0,4200,3884,2518,4987,19,0.25
"GET","silver-3",15,0,3900,3909,1477,6218,19,0.25
"GET","silver-4",15,0,4400,3886,1528,4995,19,0.25
"GET","silver-5",15,0,4300,3901,1720,5161,19,0.25
"GET","silver-6",15,0,3600,3938,1852,7154,19,0.25
"GET","silver-7",15,0,4300,3904,1612,5286,19,0.25
"GET","silver-8",15,0,3700,3921,1638,6435,19,0.25
"GET","silver-9",15,0,3900,3905,1574,5548,19,0.25
"None","Total",150,0,4000,3909,1477,7154,19,2.53
