




REPORT optimizer 0 :
config #	worker1CPU	worker1Replicas	worker2CPU	worker2Replicas	worker3CPU	worker3Replicas	demoCPU	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	Tenant-3 Throughtput	Tenant-3 avg Latency	Tenant-3 #Failures	
0	2200	0	750	1	250	0	800	0	0.86	1167	0	0.4	1464	0	0.35	1568	0	0.84	1178	0	
1	2200	0	750	1	250	2	800	0	0.36	2820	0	0.32	3094	0	0.39	2547	0	0.41	2451	0	
2	2200	0	750	1	250	1	800	0	0.56	1780	0	0.52	1885	0	0.41	2473	0	0.44	2288	0	
 


