"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",694,77,88,93,96,110,140,190,380,2300
"GET silver-1",696,78,88,93,97,110,140,190,290,2400
"Total",1390,78,88,93,96,110,140,190,290,2400
