"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",254,52,67,95,330,1000,1100,1200,1500,2100
"GET silver-1",251,53,67,94,350,1000,1100,1300,1500,2100
"Total",505,52,67,95,350,1000,1100,1300,1500,2100
