sep=;
Time;cpu/usage_rate.sum;cpu/request.sum;performance.gold.users
2019-08-05T21:19:07.500Z;undefined;null;undefined
2019-08-05T21:19:08.000Z;undefined;null;undefined
2019-08-05T21:19:08.500Z;undefined;null;undefined
2019-08-05T21:19:09.000Z;undefined;null;undefined
2019-08-05T21:19:09.500Z;undefined;null;undefined
2019-08-05T21:19:10.000Z;undefined;null;undefined
2019-08-05T21:19:10.500Z;undefined;null;undefined
2019-08-05T21:19:11.000Z;undefined;null;undefined
2019-08-05T21:19:11.500Z;undefined;null;undefined
2019-08-05T21:19:12.000Z;undefined;null;undefined
2019-08-05T21:19:12.500Z;undefined;null;undefined
2019-08-05T21:19:13.000Z;undefined;null;undefined
2019-08-05T21:19:13.500Z;undefined;null;undefined
2019-08-05T21:19:14.000Z;undefined;null;undefined
2019-08-05T21:19:14.500Z;undefined;null;undefined
2019-08-05T21:19:15.000Z;undefined;2250;undefined
2019-08-05T21:19:15.500Z;undefined;null;undefined
2019-08-05T21:19:16.000Z;undefined;null;undefined
2019-08-05T21:19:16.500Z;undefined;null;undefined
2019-08-05T21:19:17.000Z;undefined;null;undefined
2019-08-05T21:19:17.500Z;undefined;null;undefined
2019-08-05T21:19:18.000Z;undefined;null;undefined
2019-08-05T21:19:18.500Z;undefined;null;undefined
2019-08-05T21:19:19.000Z;undefined;null;undefined
2019-08-05T21:19:19.500Z;undefined;null;undefined
2019-08-05T21:19:20.000Z;undefined;null;undefined
2019-08-05T21:19:20.500Z;undefined;null;undefined
2019-08-05T21:19:21.000Z;undefined;null;undefined
2019-08-05T21:19:21.500Z;undefined;null;undefined
2019-08-05T21:19:22.000Z;undefined;null;undefined
2019-08-05T21:19:22.500Z;undefined;null;undefined
2019-08-05T21:19:23.000Z;undefined;null;undefined
2019-08-05T21:19:23.500Z;undefined;null;undefined
2019-08-05T21:19:24.000Z;undefined;null;undefined
2019-08-05T21:19:24.500Z;undefined;null;undefined
2019-08-05T21:19:25.000Z;undefined;null;undefined
2019-08-05T21:19:25.500Z;undefined;null;undefined
2019-08-05T21:19:26.000Z;undefined;null;undefined
2019-08-05T21:19:26.500Z;undefined;null;undefined
2019-08-05T21:19:27.000Z;undefined;null;undefined
2019-08-05T21:19:27.500Z;undefined;null;undefined
2019-08-05T21:19:28.000Z;undefined;null;undefined
2019-08-05T21:19:28.500Z;undefined;null;undefined
2019-08-05T21:19:29.000Z;undefined;null;undefined
2019-08-05T21:19:29.500Z;undefined;null;undefined
2019-08-05T21:19:30.000Z;undefined;2250;undefined
2019-08-05T21:19:30.500Z;undefined;null;undefined
2019-08-05T21:19:31.000Z;undefined;null;undefined
2019-08-05T21:19:31.500Z;undefined;null;undefined
2019-08-05T21:19:32.000Z;undefined;null;undefined
2019-08-05T21:19:32.500Z;undefined;null;undefined
2019-08-05T21:19:33.000Z;undefined;null;undefined
2019-08-05T21:19:33.500Z;undefined;null;undefined
2019-08-05T21:19:34.000Z;undefined;null;undefined
2019-08-05T21:19:34.500Z;undefined;null;undefined
2019-08-05T21:19:35.000Z;undefined;null;undefined
2019-08-05T21:19:35.500Z;undefined;null;undefined
2019-08-05T21:19:36.000Z;undefined;null;undefined
2019-08-05T21:19:36.500Z;undefined;null;undefined
2019-08-05T21:19:37.000Z;undefined;null;undefined
2019-08-05T21:19:37.500Z;undefined;null;undefined
2019-08-05T21:19:38.000Z;undefined;null;undefined
2019-08-05T21:19:38.500Z;undefined;null;undefined
2019-08-05T21:19:39.000Z;undefined;null;undefined
2019-08-05T21:19:39.500Z;undefined;null;undefined
2019-08-05T21:19:40.000Z;undefined;null;undefined
2019-08-05T21:19:40.500Z;undefined;null;undefined
2019-08-05T21:19:41.000Z;undefined;null;undefined
2019-08-05T21:19:41.500Z;undefined;null;undefined
2019-08-05T21:19:42.000Z;undefined;null;undefined
2019-08-05T21:19:42.500Z;undefined;null;undefined
2019-08-05T21:19:43.000Z;undefined;null;undefined
2019-08-05T21:19:43.500Z;undefined;null;undefined
2019-08-05T21:19:44.000Z;undefined;null;undefined
2019-08-05T21:19:44.500Z;undefined;null;undefined
2019-08-05T21:19:45.000Z;undefined;2250;undefined
2019-08-05T21:19:45.500Z;undefined;null;undefined
2019-08-05T21:19:46.000Z;undefined;null;undefined
2019-08-05T21:19:46.500Z;undefined;null;undefined
2019-08-05T21:19:47.000Z;undefined;null;undefined
2019-08-05T21:19:47.500Z;undefined;null;undefined
2019-08-05T21:19:48.000Z;undefined;null;undefined
2019-08-05T21:19:48.500Z;undefined;null;undefined
2019-08-05T21:19:49.000Z;undefined;null;undefined
2019-08-05T21:19:49.500Z;undefined;null;undefined
2019-08-05T21:19:50.000Z;undefined;null;undefined
2019-08-05T21:19:50.500Z;undefined;null;undefined
2019-08-05T21:19:51.000Z;undefined;null;undefined
2019-08-05T21:19:51.500Z;undefined;null;undefined
2019-08-05T21:19:52.000Z;undefined;null;undefined
2019-08-05T21:19:52.500Z;undefined;null;undefined
2019-08-05T21:19:53.000Z;undefined;null;undefined
2019-08-05T21:19:53.500Z;undefined;null;undefined
2019-08-05T21:19:54.000Z;undefined;null;undefined
2019-08-05T21:19:54.500Z;undefined;null;undefined
2019-08-05T21:19:55.000Z;undefined;null;undefined
2019-08-05T21:19:55.500Z;undefined;null;undefined
2019-08-05T21:19:56.000Z;undefined;null;undefined
2019-08-05T21:19:56.500Z;undefined;null;undefined
2019-08-05T21:19:57.000Z;undefined;null;undefined
2019-08-05T21:19:57.500Z;undefined;null;undefined
2019-08-05T21:19:58.000Z;undefined;null;undefined
2019-08-05T21:19:58.500Z;undefined;null;undefined
2019-08-05T21:19:59.000Z;undefined;null;undefined
2019-08-05T21:19:59.500Z;undefined;null;undefined
2019-08-05T21:20:00.000Z;undefined;2250;undefined
2019-08-05T21:20:00.500Z;undefined;null;undefined
2019-08-05T21:20:01.000Z;undefined;null;undefined
2019-08-05T21:20:01.500Z;undefined;null;undefined
2019-08-05T21:20:02.000Z;undefined;null;undefined
2019-08-05T21:20:02.500Z;undefined;null;undefined
2019-08-05T21:20:03.000Z;undefined;null;undefined
2019-08-05T21:20:03.500Z;undefined;null;undefined
2019-08-05T21:20:04.000Z;undefined;null;undefined
2019-08-05T21:20:04.500Z;undefined;null;undefined
2019-08-05T21:20:05.000Z;undefined;null;undefined
2019-08-05T21:20:05.500Z;undefined;null;undefined
2019-08-05T21:20:06.000Z;undefined;null;undefined
2019-08-05T21:20:06.500Z;undefined;null;undefined
2019-08-05T21:20:07.000Z;undefined;null;undefined
2019-08-05T21:20:07.500Z;undefined;null;undefined
2019-08-05T21:20:08.000Z;undefined;null;undefined
2019-08-05T21:20:08.500Z;undefined;null;undefined
2019-08-05T21:20:09.000Z;undefined;null;undefined
2019-08-05T21:20:09.500Z;undefined;null;undefined
2019-08-05T21:20:10.000Z;undefined;null;undefined
2019-08-05T21:20:10.500Z;undefined;null;undefined
2019-08-05T21:20:11.000Z;undefined;null;undefined
2019-08-05T21:20:11.500Z;undefined;null;undefined
2019-08-05T21:20:12.000Z;undefined;null;undefined
2019-08-05T21:20:12.500Z;undefined;null;undefined
2019-08-05T21:20:13.000Z;undefined;null;undefined
2019-08-05T21:20:13.500Z;undefined;null;undefined
2019-08-05T21:20:14.000Z;undefined;null;undefined
2019-08-05T21:20:14.500Z;undefined;null;undefined
2019-08-05T21:20:15.000Z;undefined;2250;undefined
2019-08-05T21:20:15.500Z;undefined;null;undefined
2019-08-05T21:20:16.000Z;undefined;null;undefined
2019-08-05T21:20:16.500Z;undefined;null;undefined
2019-08-05T21:20:17.000Z;undefined;null;undefined
2019-08-05T21:20:17.500Z;undefined;null;undefined
2019-08-05T21:20:18.000Z;undefined;null;undefined
2019-08-05T21:20:18.500Z;undefined;null;undefined
2019-08-05T21:20:19.000Z;undefined;null;undefined
2019-08-05T21:20:19.500Z;undefined;null;undefined
2019-08-05T21:20:20.000Z;undefined;null;undefined
2019-08-05T21:20:20.500Z;undefined;null;undefined
2019-08-05T21:20:21.000Z;undefined;null;undefined
2019-08-05T21:20:21.500Z;undefined;null;undefined
2019-08-05T21:20:22.000Z;undefined;null;undefined
2019-08-05T21:20:22.500Z;undefined;null;undefined
2019-08-05T21:20:23.000Z;undefined;null;undefined
2019-08-05T21:20:23.500Z;undefined;null;undefined
2019-08-05T21:20:24.000Z;undefined;null;undefined
2019-08-05T21:20:24.500Z;undefined;null;undefined
2019-08-05T21:20:25.000Z;undefined;null;undefined
2019-08-05T21:20:25.500Z;undefined;null;undefined
2019-08-05T21:20:26.000Z;undefined;null;undefined
2019-08-05T21:20:26.500Z;undefined;null;undefined
2019-08-05T21:20:27.000Z;undefined;null;undefined
2019-08-05T21:20:27.500Z;undefined;null;undefined
2019-08-05T21:20:28.000Z;undefined;null;undefined
2019-08-05T21:20:28.500Z;undefined;null;undefined
2019-08-05T21:20:29.000Z;undefined;null;undefined
2019-08-05T21:20:29.500Z;undefined;null;undefined
2019-08-05T21:20:30.000Z;undefined;2250;undefined
2019-08-05T21:20:30.500Z;undefined;null;undefined
2019-08-05T21:20:31.000Z;undefined;null;undefined
2019-08-05T21:20:31.500Z;undefined;null;undefined
2019-08-05T21:20:32.000Z;undefined;null;undefined
2019-08-05T21:20:32.500Z;undefined;null;undefined
2019-08-05T21:20:33.000Z;undefined;null;undefined
2019-08-05T21:20:33.500Z;undefined;null;undefined
2019-08-05T21:20:34.000Z;undefined;null;undefined
2019-08-05T21:20:34.500Z;undefined;null;undefined
2019-08-05T21:20:35.000Z;undefined;null;undefined
2019-08-05T21:20:35.500Z;undefined;null;undefined
2019-08-05T21:20:36.000Z;undefined;null;undefined
2019-08-05T21:20:36.500Z;undefined;null;undefined
2019-08-05T21:20:37.000Z;undefined;null;undefined
2019-08-05T21:20:37.500Z;undefined;null;undefined
2019-08-05T21:20:38.000Z;undefined;null;undefined
2019-08-05T21:20:38.500Z;undefined;null;undefined
2019-08-05T21:20:39.000Z;undefined;null;undefined
2019-08-05T21:20:39.500Z;undefined;null;undefined
2019-08-05T21:20:40.000Z;undefined;null;undefined
2019-08-05T21:20:40.500Z;undefined;null;undefined
2019-08-05T21:20:41.000Z;undefined;null;undefined
2019-08-05T21:20:41.500Z;undefined;null;undefined
2019-08-05T21:20:42.000Z;undefined;null;undefined
2019-08-05T21:20:42.500Z;undefined;null;undefined
2019-08-05T21:20:43.000Z;undefined;null;undefined
2019-08-05T21:20:43.500Z;undefined;null;undefined
2019-08-05T21:20:44.000Z;undefined;null;undefined
2019-08-05T21:20:44.500Z;undefined;null;undefined
2019-08-05T21:20:45.000Z;undefined;2250;undefined
2019-08-05T21:20:45.500Z;undefined;null;undefined
2019-08-05T21:20:46.000Z;undefined;null;undefined
2019-08-05T21:20:46.500Z;undefined;null;undefined
2019-08-05T21:20:47.000Z;undefined;null;undefined
2019-08-05T21:20:47.500Z;undefined;null;undefined
2019-08-05T21:20:48.000Z;undefined;null;undefined
2019-08-05T21:20:48.500Z;undefined;null;undefined
2019-08-05T21:20:49.000Z;undefined;null;undefined
2019-08-05T21:20:49.500Z;undefined;null;undefined
2019-08-05T21:20:50.000Z;undefined;null;undefined
2019-08-05T21:20:50.500Z;undefined;null;undefined
2019-08-05T21:20:51.000Z;undefined;null;undefined
2019-08-05T21:20:51.500Z;undefined;null;undefined
2019-08-05T21:20:52.000Z;undefined;null;undefined
2019-08-05T21:20:52.500Z;undefined;null;undefined
2019-08-05T21:20:53.000Z;undefined;null;undefined
2019-08-05T21:20:53.500Z;undefined;null;undefined
2019-08-05T21:20:54.000Z;undefined;null;undefined
2019-08-05T21:20:54.500Z;undefined;null;undefined
2019-08-05T21:20:55.000Z;undefined;null;undefined
2019-08-05T21:20:55.500Z;undefined;null;undefined
2019-08-05T21:20:56.000Z;undefined;null;undefined
2019-08-05T21:20:56.500Z;undefined;null;undefined
2019-08-05T21:20:57.000Z;undefined;null;undefined
2019-08-05T21:20:57.500Z;undefined;null;undefined
2019-08-05T21:20:58.000Z;undefined;null;undefined
2019-08-05T21:20:58.500Z;undefined;null;undefined
2019-08-05T21:20:59.000Z;undefined;null;undefined
2019-08-05T21:20:59.500Z;undefined;null;undefined
2019-08-05T21:21:00.000Z;undefined;2250;undefined
2019-08-05T21:21:00.500Z;undefined;null;undefined
2019-08-05T21:21:01.000Z;undefined;null;undefined
2019-08-05T21:21:01.500Z;undefined;null;undefined
2019-08-05T21:21:02.000Z;undefined;null;undefined
2019-08-05T21:21:02.500Z;undefined;null;undefined
2019-08-05T21:21:03.000Z;undefined;null;undefined
2019-08-05T21:21:03.500Z;undefined;null;undefined
2019-08-05T21:21:04.000Z;undefined;null;undefined
2019-08-05T21:21:04.500Z;undefined;null;undefined
2019-08-05T21:21:05.000Z;undefined;null;undefined
2019-08-05T21:21:05.500Z;undefined;null;undefined
2019-08-05T21:21:06.000Z;undefined;null;undefined
2019-08-05T21:21:06.500Z;undefined;null;undefined
2019-08-05T21:21:07.000Z;undefined;null;undefined
2019-08-05T21:21:07.500Z;undefined;null;undefined
2019-08-05T21:21:08.000Z;undefined;null;undefined
2019-08-05T21:21:08.500Z;undefined;null;undefined
2019-08-05T21:21:09.000Z;undefined;null;undefined
2019-08-05T21:21:09.500Z;undefined;null;undefined
2019-08-05T21:21:10.000Z;undefined;null;undefined
2019-08-05T21:21:10.500Z;undefined;null;undefined
2019-08-05T21:21:11.000Z;undefined;null;undefined
2019-08-05T21:21:11.500Z;undefined;null;undefined
2019-08-05T21:21:12.000Z;undefined;null;undefined
2019-08-05T21:21:12.500Z;undefined;null;undefined
2019-08-05T21:21:13.000Z;undefined;null;undefined
2019-08-05T21:21:13.500Z;undefined;null;undefined
2019-08-05T21:21:14.000Z;undefined;null;undefined
2019-08-05T21:21:14.500Z;undefined;null;undefined
2019-08-05T21:21:15.000Z;undefined;2250;undefined
2019-08-05T21:21:15.500Z;undefined;null;undefined
2019-08-05T21:21:16.000Z;undefined;null;undefined
2019-08-05T21:21:16.500Z;undefined;null;undefined
2019-08-05T21:21:17.000Z;undefined;null;undefined
2019-08-05T21:21:17.500Z;undefined;null;undefined
2019-08-05T21:21:18.000Z;undefined;null;undefined
2019-08-05T21:21:18.500Z;undefined;null;undefined
2019-08-05T21:21:19.000Z;undefined;null;undefined
2019-08-05T21:21:19.500Z;undefined;null;undefined
2019-08-05T21:21:20.000Z;undefined;null;undefined
2019-08-05T21:21:20.500Z;undefined;null;undefined
2019-08-05T21:21:21.000Z;undefined;null;undefined
2019-08-05T21:21:21.500Z;undefined;null;undefined
2019-08-05T21:21:22.000Z;undefined;null;undefined
2019-08-05T21:21:22.500Z;undefined;null;undefined
2019-08-05T21:21:23.000Z;undefined;null;undefined
