"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","gold-0",29,0,2000,2006,1268,3125,19,0.49
"GET","gold-1",29,0,2000,1997,718,3292,19,0.49
"GET","gold-2",32,0,1800,1850,796,3020,19,0.54
"GET","gold-3",30,0,2000,1951,989,2872,19,0.50
"GET","gold-4",31,0,1900,1853,782,3084,19,0.52
"GET","gold-5",35,0,1700,1705,1084,2595,19,0.59
"GET","gold-6",32,0,1800,1840,989,2982,19,0.54
"GET","gold-7",32,0,1900,1847,979,2653,19,0.54
"GET","gold-8",32,0,1800,1824,986,2403,19,0.54
"GET","gold-9",34,0,1700,1701,989,2781,19,0.57
"None","Total",316,0,1900,1852,718,3292,19,5.31
