"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET silver-0",757,63,81,89,95,110,150,190,360,1500
"GET silver-1",754,66,82,89,94,110,150,190,320,1500
"Total",1511,65,82,89,95,110,150,190,330,1500
