"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","silver-0",757,0,63,78,27,1523,19,12.72
"GET","silver-1",754,0,66,78,16,1509,19,12.67
"None","Total",1511,0,65,78,16,1523,19,25.38
