




REPORT optimizer 0 :
config #	worker1CPU	worker1Replicas	worker2CPU	worker2Replicas	worker3CPU	worker3Replicas	demoCPU	score	Tenant-0 Throughtput	Tenant-0 avg Latency	Tenant-0 #Failures	Tenant-1 Throughtput	Tenant-1 avg Latency	Tenant-1 #Failures	Tenant-2 Throughtput	Tenant-2 avg Latency	Tenant-2 #Failures	Tenant-3 Throughtput	Tenant-3 avg Latency	Tenant-3 #Failures	Tenant-4 Throughtput	Tenant-4 avg Latency	Tenant-4 #Failures	Tenant-5 Throughtput	Tenant-5 avg Latency	Tenant-5 #Failures	Tenant-6 Throughtput	Tenant-6 avg Latency	Tenant-6 #Failures	
0	2200	0	750	2	250	0	800	0.84375	0.7	1438	0	0.7	1450	0	0.76	1302	0	0.73	1380	0	0.76	1309	0	0.73	1371	0	0.71	1414	0	
1	2200	0	750	2	250	2	800	0	0.44	2208	0	0.48	2100	0	0.44	2210	0	0.34	2834	0	0.37	2568	0	0.39	2513	0	0.43	2285	0	
2	2200	0	750	2	250	1	800	0	0.37	2666	0	0.61	1611	0	0.42	2329	0	0.34	2954	0	0.42	2357	1	0.36	2801	0	0.34	2872	0	
 


